#             x      grad(U)_xx      grad(U)_xy      grad(U)_xz      grad(U)_yx      grad(U)_yy      grad(U)_yz      grad(U)_zx      grad(U)_zy      grad(U)_zz             U_x             U_y             U_z               k             nut           omega
   0.0039609802      0.14404844      0.10604749   1.7155478e-18    -0.055636145     -0.14422283  -2.2944242e-20   7.0383072e-19   5.6720478e-19  -1.4702448e-35        5.404173    0.0077207417   3.8690622e-23     0.040311351   0.00018544874       217.37193
   0.0040622717      0.14423161      0.10585006  -6.0541231e-19    -0.055834145     -0.14440626   8.5457717e-21   1.7110959e-18   1.2733451e-18   9.9078435e-36       5.4041876    0.0077314716   8.8308067e-23     0.040296578   0.00018544329       217.29866
   0.0041646195      0.14441613      0.10565037  -7.0845688e-19    -0.056034419     -0.14459106   1.6621759e-20  -1.6470838e-18  -1.2503973e-18    1.809102e-37       5.4042024    0.0077422931  -8.8370574e-23     0.040281663   0.00018543779       217.22467
   0.0042680347      0.14460203      0.10544838   8.8022998e-19    -0.056236995     -0.14477726  -3.9581551e-21  -9.9701302e-19  -7.5660562e-19   5.9198537e-35       5.4042173    0.0077532067  -5.2183857e-23     0.040266602   0.00018543223       217.14996
   0.0043725284      0.14478931      0.10524407   9.7619906e-19      -0.0564419     -0.14496484  -2.4775076e-20   1.7324998e-18   1.3140727e-18   1.2252118e-35       5.4042324    0.0077642129   9.5720505e-23     0.040251396   0.00018542662       217.07453
   0.0044781119      0.14497799      0.10503741  -5.8963019e-19     -0.05664916      -0.1451538  -1.0177891e-20   2.6884904e-18   1.9970153e-18  -2.1125117e-35       5.4042477    0.0077753122   1.4932264e-22     0.040236042   0.00018542095       216.99836
   0.0045847965      0.14516807      0.10482838  -1.8982671e-18    -0.056858803     -0.14534417   2.6383629e-20   -5.510718e-19  -4.2269243e-19   9.6995984e-36       5.4042632     0.007786505  -3.2919824e-23     0.040220539   0.00018541522       216.92145
   0.0046925938      0.14535955      0.10461695  -6.7207672e-19    -0.057070856     -0.14553592   1.6165058e-20  -4.4528199e-18  -3.2422669e-18  -9.9484954e-36       5.4042788    0.0077977919   -2.567685e-22     0.040204887   0.00018540943        216.8438
   0.0048015152      0.14555245      0.10440308   1.5894579e-18    -0.057285347     -0.14572907  -1.6478673e-20  -2.9802199e-18  -2.1422411e-18  -1.3292206e-35       5.4042947    0.0078091734  -1.7300052e-22     0.040189083   0.00018540359       216.76539
   0.0049115726      0.14574677      0.10418676   1.7245173e-18    -0.057502303     -0.14592361  -1.8042788e-20   1.5569846e-18   1.1224035e-18   1.7712165e-35       5.4043107    0.0078206499   9.3131735e-23     0.040173126   0.00018539769       216.68623
   0.0050227778      0.14594252      0.10396795   4.2462397e-19    -0.057721753     -0.14611955  -2.1204784e-21   3.4037711e-18   2.4083173e-18   1.7979482e-35       5.4043269    0.0078322219   2.0603942e-22     0.040157016   0.00018539173       216.60629
   0.0051351427       0.1461397      0.10374663  -6.6162782e-19    -0.057943724     -0.14631689   9.1937731e-21   3.0385005e-18    2.141108e-18   1.2615532e-35       5.4043433    0.0078438899   1.8681738e-22      0.04014075   0.00018538571       216.52559
   0.0052486795       0.1463383      0.10352277  -1.5148277e-18    -0.058168245     -0.14651562   5.2132194e-21   8.9303212e-19   6.5755911e-19     1.78766e-35       5.4043599    0.0078556543   5.3984163e-23     0.040124327   0.00018537963        216.4441
   0.0053634003      0.14653833      0.10329633  -1.3590726e-18    -0.058395345     -0.14671575  -1.2945729e-20  -2.5310303e-18  -1.7428801e-18  -3.9781961e-36       5.4043767    0.0078675156  -1.6183835e-22     0.040107746   0.00018537349       216.36182
   0.0054793176      0.14673978      0.10306729   2.3980376e-19    -0.058625054     -0.14691728  -1.4630399e-20  -4.0137665e-18  -2.7883767e-18  -1.6124695e-35       5.4043937    0.0078794741  -2.5774384e-22     0.040091006   0.00018536729       216.27876
   0.0055964437      0.14694266      0.10283563   1.3711603e-18      -0.0588574      -0.1471202  -9.3216831e-21  -1.5744477e-18  -1.0845566e-18  -3.9955422e-35       5.4044109    0.0078915304  -1.0042908e-22     0.040074105   0.00018536102       216.19489
   0.0057147914      0.14714694      0.10260131    3.866949e-19    -0.059092413     -0.14732452  -1.3650357e-21   1.0018838e-18   7.0866627e-19  -5.0191719e-36       5.4044283    0.0079036849   6.5782944e-23     0.040057041   0.00018535469       216.11021
   0.0058343733      0.14735262      0.10236429  -2.0087885e-19    -0.059330124     -0.14753022   9.8394535e-21  -1.7769192e-19  -1.3148003e-19   2.8097886e-35       5.4044459     0.007915938  -1.3390493e-23     0.040039814    0.0001853483       216.02471
   0.0059552024      0.14755969      0.10212456   8.4049474e-19    -0.059570564     -0.14773732    7.685176e-21   2.6822778e-19   1.6686738e-19    1.006751e-35       5.4044637      0.00792829   2.0076336e-23     0.040022422   0.00018534185        215.9384
   0.0060772915      0.14776816      0.10188207    5.350372e-19    -0.059813764     -0.14794581   1.6848902e-20    2.804439e-18   1.9207933e-18   7.2396144e-35       5.4044818    0.0079407414   1.9483139e-22     0.040004863   0.00018533533       215.85125
    0.006200654        0.147978      0.10163681  -1.1125776e-18    -0.060059755     -0.14815568    2.498143e-20   2.1175747e-18   1.4374482e-18  -3.5132275e-36          5.4045    0.0079532927   1.4779154e-22     0.039987136   0.00018532874       215.76327
   0.0063253029      0.14818919      0.10138872  -1.0693469e-18     -0.06030857     -0.14836693   5.1629381e-21  -1.1895022e-18  -8.2710744e-19  -6.0181453e-35       5.4045185     0.007965944  -8.5881786e-23     0.039969239    0.0001853221       215.67444
   0.0064512519      0.14840174      0.10113779   9.1850384e-19    -0.060560241     -0.14857957  -3.0858345e-20  -1.6474315e-18  -1.1242413e-18   6.3310836e-35       5.4045371    0.0079786959  -1.1843141e-22     0.039951171   0.00018531538       215.58476
   0.0065785143      0.14861562      0.10088398   1.3693097e-18    -0.060814801     -0.14879357  -2.6155654e-20   2.0702618e-18   1.3921859e-18   4.7627241e-36        5.404556    0.0079915487   1.5259992e-22     0.039932931    0.0001853086       215.49422
    0.006707104      0.14883084      0.10062725   1.0983658e-19    -0.061072284     -0.14900895   7.5200473e-21   3.1176869e-18   2.0784089e-18  -5.6080492e-35       5.4045752    0.0080045027    2.303035e-22     0.039914518   0.00018530175       215.40281
   0.0068370347      0.14904739      0.10036758    1.410558e-19    -0.061332724     -0.14922569   6.3589295e-21   2.3783131e-18   1.5883828e-18   1.2219062e-35       5.4045945    0.0080175582   1.7864585e-22     0.039895928   0.00018529483       215.31053
