#        face_x          face_y          face_z      grad(U)_xx      grad(U)_xy      grad(U)_xz      grad(U)_yx      grad(U)_yy      grad(U)_yz      grad(U)_zx      grad(U)_zy      grad(U)_zz             U_x             U_y             U_z              kl              kt             nut           omega
   0.0088049804               0            0.05       -6.742961    -0.001994627  -6.9233529e-21       11662.488       2.6333573  -2.7906175e-17   1.4137254e-13   3.1921504e-17  -3.3827936e-34               0               0               0             0.1             0.1               0        11601891
   0.0089567898               0            0.05      -6.5715245   -0.0019126309   8.1009111e-19       11563.153        2.566742  -3.6858939e-18   2.8326091e-14   6.2877105e-18  -9.0277312e-36               0               0               0             0.1             0.1               0        11601891
   0.0091101825               0            0.05      -6.4054838   -0.0018350947   8.7345271e-21       11465.325       2.5021696  -1.7455211e-17   2.8379382e-14   6.1934601e-18  -4.3205759e-35               0               0               0             0.1             0.1               0        11601891
   0.0092651749               0            0.05      -6.2446234   -0.0017604852   8.5659578e-21       11368.967        2.439568  -8.0103931e-18    2.843377e-14   6.1013174e-18    -2.00336e-35               0               0               0             0.1             0.1               0        11601891
   0.0094217836               0            0.05      -6.0887729   -0.0016886115   7.1322416e-19       11274.041       2.3789009  -3.4537397e-18   2.8490452e-14    6.011647e-18  -8.6647728e-36               0               0               0             0.1             0.1               0        11601891
   0.0095800257               0            0.05      -5.9377717   -0.0016194089   1.8886169e-19       11180.511       2.3201052   2.3574066e-17  -8.5647901e-14  -1.7773082e-17   -1.805879e-34               0               0               0             0.1             0.1               0        11601891
   0.0097399181               0            0.05      -5.7914514   -0.0015532572   -5.319531e-19       11088.342       2.2631452   4.3768289e-18   2.6221143e-19   7.0324648e-23   2.4084495e-38               0               0               0             0.1             0.1               0        11601891
    0.009901478               0            0.05      -5.6496461   -0.0014897474   3.3178097e-19       10997.499        2.207926   4.3277723e-18  -2.4805687e-19  -6.5409774e-23   1.4567381e-38               0               0               0             0.1             0.1               0        11601891
    0.010064723               0            0.05      -5.5121929   -0.0014288599    1.642215e-19       10907.948       2.1544369   1.5077532e-17  -5.7467748e-14  -1.1350497e-17  -7.9434904e-35               0               0               0             0.1             0.1               0        11601891
     0.01022967               0            0.05      -5.3789172   -0.0013711383  -1.7088788e-19       10819.658       2.1025796   7.3912796e-18  -2.8798085e-14  -5.5962924e-18  -1.9658874e-35               0               0               0             0.1             0.1               0        11601891
    0.010396337               0            0.05       -5.249628   -0.0013172008  -3.0797046e-19       10732.597       2.0522985  -9.6275071e-19  -2.8864504e-14  -5.5194873e-18   2.6026421e-36               0               0               0             0.1             0.1               0        11601891
    0.010564743               0            0.05      -5.1241425   -0.0012654766   -1.604145e-19       10646.736       2.0034421  -7.2069587e-18   2.8932221e-14   5.4442874e-18   -1.959162e-35               0               0               0             0.1             0.1               0        11601891
    0.010734905               0            0.05      -5.0022893   -0.0012166349   6.9730364e-21       10562.049       1.9560674   4.0128363e-18   2.0424821e-19   4.9676357e-23  -2.8471569e-40               0               0               0             0.1             0.1               0        11601891
    0.010906842               0            0.05      -4.8839315   -0.0011700833  -1.4290344e-19       10478.507       1.9099659  -1.1015771e-17   2.9072114e-14   5.2990976e-18  -3.0568585e-35               0               0               0             0.1             0.1               0        11601891
    0.011080571               0            0.05      -4.7689689   -0.0011249514   1.4054275e-19       10396.086       1.8652367   4.8992966e-18   2.9144053e-14   5.2289225e-18   1.3746191e-35               0               0               0             0.1             0.1               0        11601891
    0.011256113               0            0.05      -4.6573153   -0.0010817284   2.3683567e-21       10314.761       1.8217332   1.1621071e-17   3.6866993e-19   8.5628886e-23  -1.8747751e-40               0               0               0             0.1             0.1               0        11601891
    0.011433485               0            0.05      -4.5488708    -0.001040365   1.3166947e-19       10234.505       1.7795147   4.6693149e-18   2.9293396e-14   5.0933808e-18   1.3353904e-35               0               0               0             0.1             0.1               0        11601891
    0.011612707               0            0.05      -4.4435167   -0.0010008396  -2.5178954e-19       10155.296       1.7384335   -4.685561e-18   -2.936928e-14  -5.0275686e-18   1.3560559e-35               0               0               0             0.1             0.1               0        11601891
    0.011793798               0            0.05       -4.341139  -0.00096304985   -7.762947e-19       10077.109       1.6985486  -2.3642663e-17   8.8342141e-14    1.489054e-17  -2.0720516e-34               0               0               0             0.1             0.1               0        11601891
    0.011976778               0            0.05      -4.2416358   -0.0009265386   5.0630031e-19        9999.922       1.6597154  -2.9032442e-17   1.4763201e-13   2.4502886e-17  -4.2857799e-34               0               0               0             0.1             0.1               0        11601891
    0.012161666               0            0.05      -4.1449193  -0.00089183564    6.390411e-19        9923.713       1.6220289   2.8162884e-18  -2.9607351e-14  -4.8393323e-18  -8.3527527e-36               0               0               0             0.1             0.1               0        11601891
    0.012348482               0            0.05       -4.050888   -0.0008584958   1.1344343e-19       9848.4603       1.5852962  -3.6030795e-18  -1.4749762e-19  -3.1258847e-23   4.1306093e-39               0               0               0             0.1             0.1               0        11601891
    0.012537247               0            0.05      -3.9594238  -0.00082664692   3.3910297e-21       9774.1434        1.549648   1.9559136e-18  -5.9544698e-14  -9.4405686e-18  -1.1915235e-35               0               0               0             0.1             0.1               0        11601891
     0.01272798               0            0.05      -3.8704207  -0.00079681801  -3.5366111e-19       9700.7429       1.5148758    1.565953e-21   1.4098857e-19   2.9025846e-23   1.2882882e-38               0               0               0             0.1             0.1               0        11601891
    0.012920702               0            0.05      -3.7837837  -0.00076716477   1.0903234e-19       9628.2403       1.4810635  -6.1787792e-18   2.9942687e-14   4.6059322e-18  -1.9215352e-35               0               0               0             0.1             0.1               0        11601891
    0.013115435               0            0.05      -3.6994374  -0.00073879565  -2.1052488e-19        9556.618       1.4481573   6.0923579e-18  -3.0029767e-14  -4.5505393e-18  -1.9136749e-35               0               0               0             0.1             0.1               0        11601891
    0.013312198               0            0.05      -3.6173362  -0.00071154599  -1.0869666e-20       9485.8582       1.4161451  -1.4671571e-17   9.0355233e-14   1.3489146e-17  -1.3975046e-34               0               0               0             0.1             0.1               0        11601891
    0.013511013               0            0.05      -3.5374238  -0.00068517875   3.2886365e-19       9415.9434       1.3849844   9.3131624e-18  -3.0208218e-14  -4.4433054e-18  -2.9877989e-35               0               0               0             0.1             0.1               0        11601891
    0.013711901               0            0.05      -3.4596349  -0.00066039433   2.0054016e-19       9346.8565       1.3546822  -3.3532423e-18   5.0175018e-21   9.5776863e-25  -2.9084301e-40               0               0               0             0.1             0.1               0        11601891
    0.013914885               0            0.05      -3.3839024  -0.00063682486    1.054974e-19       9278.5804       1.3251299   7.6088211e-18  -9.1175193e-14  -1.3021289e-17  -7.4759877e-35               0               0               0             0.1             0.1               0        11601891
    0.014119985               0            0.05      -3.3101539  -0.00061442914    -3.05629e-19       9211.0989       1.2963652   9.0265537e-18  -3.0485156e-14  -4.2904596e-18  -2.9864139e-35               0               0               0             0.1             0.1               0        11601891
    0.014327225               0            0.05      -3.2383225   -0.0005925431  -9.7941534e-20       9144.3964       1.2682789  -3.2417402e-18   1.1084371e-19   2.0282007e-23   3.3524158e-39               0               0               0             0.1             0.1               0        11601891
    0.014536626               0            0.05      -3.1683442  -0.00057201995   9.4681014e-20       9078.4576       1.2409696  -6.3557818e-18  -2.1024997e-19  -3.7959001e-23   6.2829919e-39               0               0               0             0.1             0.1               0        11601891
     0.01474821               0            0.05      -3.1001489  -0.00055212837    2.206353e-22       9013.2678       1.2142449   8.7519176e-18    -3.07737e-14  -4.1457606e-18  -2.9881271e-35               0               0               0             0.1             0.1               0        11601891
    0.014962002               0            0.05      -3.0336927  -0.00053472818  -5.5934064e-21       8948.8131       1.1882722  -1.8702505e-20   1.0065728e-19   1.7742167e-23   1.8558804e-40               0               0               0             0.1             0.1               0        11601891
    0.015178023               0            0.05      -2.9689214  -0.00051223728  -1.7444175e-19       8885.0792       1.1626738   2.3375812e-18   -3.097178e-14  -4.0528628e-18  -8.1372144e-36               0               0               0             0.1             0.1               0        11601891
    0.015396296               0            0.05       -2.905724  -0.00049180031  -4.3429069e-19        8822.053       1.1383592   -1.693115e-17   6.2146254e-14   8.0190928e-18  -1.1922755e-34               0               0               0             0.1             0.1               0        11601891
    0.015616846               0            0.05      -2.8440947  -0.00047600807   2.5522271e-19       8759.7233       1.1142526   -1.830692e-17    1.247007e-13   1.5862147e-17  -2.6059608e-34               0               0               0             0.1             0.1               0        11601891
    0.015839697               0            0.05      -2.7840231  -0.00045906066   4.2569805e-19       8698.0759       1.0910118   5.3029382e-18  -3.1278924e-14  -3.9233694e-18  -1.9028944e-35               0               0               0             0.1             0.1               0        11601891
