# Selection         : all 
# Volume            : 1.395979868100e-03
# Time              	max(p)	location	cell	max(k)	location	cell	max(omega)	location	cell	max(nut)	location	cell	max(epsilon)	max(nuTilda)
42                  	7.724102884694e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	1.227762262194e-02	(7.960000000000e+00 6.930946904294e-02 1.000000000000e-01)	2982	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	6.379539675276e-04	(7.960000000000e+00 3.899053164204e-02 1.000000000000e-01)	2975
43                  	7.654065067170e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	1.215478638990e-02	(7.960000000000e+00 6.930946904294e-02 1.000000000000e-01)	2982	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	6.572163510655e-04	(7.960000000000e+00 3.899053164204e-02 1.000000000000e-01)	2975
44                  	7.590144933853e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	1.200346376695e-02	(7.960000000000e+00 6.930946904294e-02 1.000000000000e-01)	2982	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	6.714512769846e-04	(7.960000000000e+00 3.899053164204e-02 1.000000000000e-01)	2975
45                  	7.533787527635e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	1.182773456706e-02	(7.960000000000e+00 6.930946904294e-02 1.000000000000e-01)	2982	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	6.834262882054e-04	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974
46                  	7.484651800443e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	1.163726377082e-02	(7.960000000000e+00 7.242619270681e-02 1.000000000000e-01)	2983	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	6.902867279348e-04	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974
47                  	7.441555343924e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	1.144392529671e-02	(7.960000000000e+00 7.242619270681e-02 1.000000000000e-01)	2983	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	6.925428931321e-04	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974
48                  	7.403444520780e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	1.123909262082e-02	(7.960000000000e+00 7.242619270681e-02 1.000000000000e-01)	2983	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	6.913598170260e-04	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973
49                  	7.369551806562e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	1.104488622338e-02	(7.960000000000e+00 7.530531087350e-02 1.000000000000e-01)	2984	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	6.869816292505e-04	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973
50                  	7.339315236238e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	1.084897554692e-02	(7.960000000000e+00 7.530531087350e-02 1.000000000000e-01)	2984	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	6.796075424500e-04	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973
51                  	7.312463842270e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	1.067261741968e-02	(7.960000000000e+00 7.796488937169e-02 1.000000000000e-01)	2985	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	6.699328168822e-04	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973
