#             y      grad(U)_xx      grad(U)_xy      grad(U)_xz      grad(U)_yx      grad(U)_yy      grad(U)_yz      grad(U)_zx      grad(U)_zy      grad(U)_zz             U_x             U_y             U_z              kl              kt             nut           omega
   0.0043900594     -0.32315152    -0.052210857    5.227619e-20       33.448227      0.32519908   7.3683536e-20  -1.3148219e-16  -1.2737788e-18  -1.5614544e-36       5.4354821     0.015875871   2.1778015e-22      0.08919996     0.026389076     4.26767e-05       18.849447
   0.0046807278     -0.20743812     -0.05125292   6.4552254e-20        21.96058      0.20884602  -4.8615079e-19  -1.3018603e-17  -1.1720471e-19  -3.0451485e-36       5.4430177     0.015948803   5.0152313e-23     0.089546722     0.026402344   5.2753188e-05       17.944246
   0.0049892948     -0.12899081    -0.050555204  -9.1325463e-21       14.726108      0.12998008    -4.17514e-19    4.244364e-18  -5.9925138e-21   3.3584425e-37       5.4483459     0.015997859  -7.8293605e-23     0.089869078      0.02647121   6.2926377e-05       17.144523
   0.0053168625    -0.074333139    -0.050029891   5.9003746e-21        10.04069     0.075038725   2.7957776e-20   3.9623355e-17   3.0126328e-19  -3.0778847e-37       5.4521847     0.016029169  -2.1759039e-22     0.090140869     0.026582485   7.2896082e-05       16.444878
   0.0056646009    -0.035213002    -0.049620453  -1.5336994e-20       6.9173101     0.035728024   5.5175572e-19   1.2099336e-17   1.4408934e-19  -1.9411431e-36        5.454986     0.016046778   -1.654541e-23     0.090357305     0.026722289    8.245102e-05       15.838575
   0.0060337521    -0.006570826    -0.049290874   -5.904158e-20       4.7827571    0.0069417229   1.7028539e-19   -1.628818e-17  -4.9473439e-20  -1.4652782e-36       5.4570427     0.016053417   1.7234086e-22     0.090523578     0.026877755   9.1424798e-05       15.318395
   0.0064256347     0.014775245    -0.049018082  -2.4770565e-20       3.2951236    -0.014510364  -2.7058554e-19   -6.099989e-18  -2.5017181e-20   6.1598181e-37       5.4585516     0.016050975   7.5306505e-23     0.090648516     0.027037824   9.9678166e-05       14.877077
   0.0068416484     0.030892925    -0.048786176   3.5882632e-20       2.2432928    -0.030692332  -1.8369696e-19   1.3759273e-18  -4.4066166e-20   1.4484533e-37       5.4596494     0.016040815  -4.5597635e-23     0.090741266     0.027193533   0.00010709792       14.507494
    0.007283279     0.043167221     -0.04858429   2.9608013e-20       1.4924984    -0.043014413   5.0204099e-21   2.4364971e-18  -3.8585914e-20  -6.1557897e-37       5.4604336     0.016023928    -6.50063e-23     0.090809735     0.027338056   0.00011360138       14.202667
   0.0077521041     0.052551685     -0.04840534   -5.499448e-21      0.95411008    -0.052438483   7.2408619e-20    4.912899e-19  -3.5318978e-20   3.4494167e-38       5.4609761     0.016001049  -3.6512777e-23     0.090860088      0.02746663   0.00011914017       13.955707
