#             x      grad(U)_xx      grad(U)_xy      grad(U)_xz      grad(U)_yx      grad(U)_yy      grad(U)_yz      grad(U)_zx      grad(U)_zy      grad(U)_zz             U_x             U_y             U_z              kl              kt             nut           omega
   0.0030951311      0.14443453      0.10913595   1.6507884e-18    -0.054675766     -0.14461053  -1.2957907e-20   2.4158779e-18   1.7894854e-18   2.0796583e-35       5.4041039    0.0077292407   1.1890003e-22     0.097436865     0.040669727   0.00015882478       20.250237
   0.0031873927      0.14460811      0.10895525  -2.7573985e-19    -0.054857084     -0.14478428  -2.0178118e-20   2.9431261e-18    2.221569e-18  -1.0691811e-36       5.4041172    0.0077392997   1.4433177e-22     0.097432823     0.040659714   0.00015880456       20.244805
   0.0032806164      0.14478307      0.10877247  -9.6805285e-19     -0.05504048     -0.14495941  -1.3413663e-20   1.3185924e-18   1.0415906e-18   1.1575372e-35       5.4041307    0.0077494467   6.4571495e-23     0.097428741     0.040649603   0.00015878413       20.239319
   0.0033748124       0.1449594      0.10858759   -3.351706e-19    -0.055225979     -0.14513591   5.8601293e-21  -7.2328233e-19  -5.2696066e-19  -1.4786939e-35       5.4041444    0.0077596822  -3.7551772e-23     0.097424617     0.040639392    0.0001587635        20.23378
   0.0034699907       0.1451371      0.10840057   1.0507835e-18    -0.055413607     -0.14531379   1.3035206e-20   5.8653156e-20    2.776262e-20   2.1682719e-35       5.4041582    0.0077700068   4.6651053e-24     0.097420451     0.040629081   0.00015874267       20.228186
   0.0035661616       0.1453162       0.1082114   5.0184332e-19    -0.055603387     -0.14549306    1.150044e-20   3.1610241e-18   2.3428388e-18   1.1553415e-36       5.4041721    0.0077804209   1.6643543e-22     0.097416243     0.040618669   0.00015872164       20.222537
   0.0036633356      0.14549669      0.10802005  -1.8489689e-18    -0.055795345     -0.14567371   1.6414066e-20    1.859791e-18   1.3592319e-18   6.7834648e-36       5.4041863    0.0077909252   9.7232354e-23     0.097411993     0.040608155   0.00015870039       20.216832
   0.0037615229      0.14567858      0.10782649   -1.889015e-18    -0.055989507     -0.14585576   1.5586235e-20   -3.676006e-18  -2.7444617e-18   2.7478415e-35       5.4042006    0.0078015201  -2.0025913e-22       0.0974077     0.040597538   0.00015867894       20.211072
   0.0038607342      0.14586188      0.10763071   1.1746587e-18    -0.056185899     -0.14603921  -1.4694765e-20  -5.0056078e-18  -3.6755158e-18  -4.8351966e-35        5.404215    0.0078122062  -2.7175354e-22     0.097403364     0.040586817   0.00015865728       20.205255
   0.0039609802      0.14604657      0.10743267   1.8447305e-18    -0.056384546     -0.14622405  -2.4657216e-20   7.1383558e-19   5.7519206e-19  -1.5814413e-35       5.4042297     0.007822984   4.1599439e-23     0.097398984     0.040575992    0.0001586354       20.199381
   0.0040622717      0.14623266      0.10723234  -6.5075208e-19    -0.056585475      -0.1464103   9.1768062e-21   1.7348623e-18   1.2900667e-18   1.0687938e-35       5.4042445    0.0078338541   9.4960818e-23     0.097394559     0.040565061   0.00015861331        20.19345
   0.0041646195      0.14642015      0.10702971  -7.6182285e-19    -0.056788713     -0.14659795   1.7847889e-20  -1.6701129e-18  -1.2671681e-18   2.0829907e-37       5.4042594    0.0078448169  -9.4979016e-23      0.09739009     0.040554023   0.00015859101        20.18746
   0.0042680347      0.14660905      0.10682474   9.4577194e-19    -0.056994287     -0.14678701  -4.2493262e-21  -1.0109524e-18  -7.6675109e-19   6.3574777e-35       5.4042746    0.0078558729  -5.6117104e-23     0.097385577     0.040542877   0.00015856848       20.181412
   0.0043725284      0.14679934      0.10661741   1.0486786e-18    -0.057202223     -0.14697748  -2.6584281e-20   1.7567569e-18   1.3317702e-18   1.3160651e-35       5.4042899    0.0078670227   1.0282107e-22     0.097381017     0.040531622   0.00015854573       20.175305
   0.0044781119      0.14699105      0.10640769  -6.3313678e-19     -0.05741255     -0.14716937  -1.0914299e-20   2.7260108e-18   2.0235694e-18  -2.2688176e-35       5.4043054    0.0078782668   1.6034948e-22     0.097376412     0.040520258   0.00015852276       20.169138
