#             x      grad(U)_xx      grad(U)_xy      grad(U)_xz      grad(U)_yx      grad(U)_yy      grad(U)_yz      grad(U)_zx      grad(U)_zy      grad(U)_zz             U_x             U_y             U_z               k             nut           omega
   0.0031873927      0.14263212      0.10754744  -2.5620558e-19    -0.054130785     -0.14280484  -1.8720599e-20   2.9028996e-18   2.1928369e-18  -9.9429277e-37       5.4040621    0.0076381365   1.3390601e-22     0.040424515   0.00018549041       217.93318
   0.0032806164      0.14280453      0.10736727  -8.9840123e-19    -0.054311521     -0.14297732  -1.2438103e-20   1.3003987e-18   1.0276691e-18   1.0750747e-35       5.4040754    0.0076481524   5.9868914e-23     0.040410845   0.00018548539       217.86539
   0.0033748124      0.14297827      0.10718504   -3.105066e-19    -0.054494329     -0.14315115   5.4420993e-21  -7.1343255e-19  -5.2025708e-19  -1.3729261e-35       5.4040889    0.0076582557  -3.4890545e-23     0.040397042   0.00018548031       217.79693
   0.0034699907      0.14315335      0.10700072   9.7647208e-19    -0.054679233     -0.14332634   1.2097564e-20   5.7902982e-20   2.7545467e-20   2.0146708e-35       5.4041025    0.0076684469    4.378283e-24     0.040383104   0.00018547518       217.72781
   0.0035661616      0.14332975      0.10681428   4.6617192e-19    -0.054866257      -0.1435029   1.0681918e-20   3.1178715e-18   2.3127361e-18   1.0598977e-36       5.4041163    0.0076787265   1.5466909e-22      0.04036903   0.00018546999       217.65801
   0.0036633356      0.14350747      0.10662571  -1.7187807e-18    -0.055055427     -0.14368082   1.5261216e-20   1.8345039e-18   1.3420151e-18   6.3369268e-36       5.4041302    0.0076890952   9.0365025e-23     0.040354819   0.00018546476       217.58753
   0.0037615229      0.14368653      0.10643497  -1.7564257e-18    -0.055246767     -0.14386011   1.4493506e-20  -3.6256462e-18  -2.7088134e-18   2.5540189e-35       5.4041443    0.0076995534  -1.8620654e-22      0.04034047   0.00018545947       217.51636
   0.0038607342      0.14386694      0.10624205   1.0922734e-18    -0.055440304     -0.14404078  -1.3676459e-20   -4.937303e-18  -3.6284474e-18  -4.4964326e-35       5.4041586    0.0077101016  -2.5272321e-22     0.040325981   0.00018545413        217.4445
   0.0039609802      0.14404868      0.10604691   1.7155333e-18    -0.055636062     -0.14422282  -2.2943936e-20   7.0383956e-19   5.6720424e-19   -1.470238e-35        5.404173    0.0077207404   3.8690068e-23     0.040311351   0.00018544874       217.37193
   0.0040622717      0.14423177      0.10584953  -6.0539725e-19    -0.055834067     -0.14440625   8.5457775e-21   1.7111034e-18   1.2733382e-18   9.9082309e-36       5.4041876    0.0077314702   8.8307493e-23     0.040296578   0.00018544329       217.29866
   0.0041646195      0.14441621      0.10564988  -7.0845178e-19    -0.056034346     -0.14459105   1.6621633e-20  -1.6470899e-18  -1.2503931e-18    1.808157e-37       5.4042024    0.0077422917  -8.8368009e-23     0.040281663   0.00018543779       217.22467
   0.0042680347      0.14460203      0.10544794   8.8019334e-19    -0.056236925     -0.14477725  -3.9580192e-21   -9.970194e-19  -7.5660245e-19    5.919749e-35       5.4042173    0.0077532052  -5.2183502e-23     0.040266602   0.00018543223       217.14996
   0.0043725284      0.14478923      0.10524368   9.7617546e-19    -0.056441831     -0.14496483  -2.4775014e-20   1.7324959e-18   1.3140696e-18   1.2251748e-35       5.4042324    0.0077642114   9.5715399e-23     0.040251396   0.00018542662       217.07453
   0.0044781119      0.14497782      0.10503707   -5.895904e-19    -0.056649089     -0.14515379  -1.0178536e-20   2.6884886e-18   1.9970097e-18  -2.1124781e-35       5.4042477    0.0077753106   1.4931818e-22     0.040236042   0.00018542095       216.99836
   0.0045847965       0.1451678      0.10482809  -1.8982128e-18    -0.056858729     -0.14534416   2.6382842e-20  -5.5106199e-19  -4.2269252e-19   9.6994386e-36       5.4042632    0.0077865034   -3.291635e-23     0.040220539   0.00018541522       216.92145
   0.0046925938       0.1453592      0.10461671  -6.7208168e-19    -0.057070776     -0.14553591    1.616549e-20  -4.4528055e-18  -3.2422603e-18   -9.948194e-36       5.4042788    0.0077977903  -2.5676143e-22     0.040204887   0.00018540943        216.8438
   0.0048015152      0.14555204      0.10440289    1.589416e-18    -0.057285258     -0.14572906  -1.6477577e-20  -2.9802179e-18  -2.1422369e-18  -1.3291797e-35       5.4042947    0.0078091718  -1.7299829e-22     0.040189083   0.00018540359       216.76539
   0.0049115726      0.14574631      0.10418663   1.7244982e-18    -0.057502204      -0.1459236   -1.804243e-20   1.5569795e-18   1.1224027e-18   1.7711923e-35       5.4043107    0.0078206483   9.3129663e-23     0.040173126   0.00018539769       216.68623
   0.0050227778      0.14594202      0.10396787   4.2462314e-19    -0.057721642     -0.14611954  -2.1208506e-21    3.403769e-18   2.4083159e-18    1.797918e-35       5.4043269    0.0078322203    2.060375e-22     0.040157016   0.00018539173       216.60629
   0.0051351427      0.14613917       0.1037466  -6.6162895e-19      -0.0579436     -0.14631688   9.1932381e-21   3.0384911e-18   2.1411072e-18    1.261516e-35       5.4043433    0.0078438882   1.8681509e-22      0.04014075   0.00018538571       216.52559
   0.0052486795      0.14633777      0.10352279   -1.514816e-18    -0.058168108     -0.14651561   5.2129778e-21   8.9301432e-19   6.5755795e-19   1.7876582e-35       5.4043599    0.0078556526   5.3981998e-23     0.040124327   0.00018537963        216.4441
   0.0053634003      0.14653784       0.1032964  -1.3590551e-18    -0.058395195     -0.14671574  -1.2945617e-20  -2.5310392e-18  -1.7428827e-18  -3.9779644e-36       5.4043767    0.0078675139  -1.6183791e-22     0.040107746   0.00018537349       216.36182
   0.0054793176      0.14673935      0.10306742   2.3980834e-19     -0.05862489     -0.14691727  -1.4630266e-20  -4.0137639e-18  -2.7883804e-18  -1.6124667e-35       5.4043937    0.0078794725  -2.5774199e-22     0.040091006   0.00018536729       216.27876
   0.0055964437      0.14694229       0.1028358   1.3711525e-18    -0.058857224     -0.14712019  -9.3216419e-21  -1.5744487e-18  -1.0845581e-18  -3.9955451e-35       5.4044109    0.0078915288  -1.0042762e-22     0.040074105   0.00018536102       216.19489
   0.0057147914      0.14714666      0.10260151   3.8667985e-19    -0.059092227     -0.14732451   -1.364774e-21    1.001878e-18   7.0866739e-19  -5.0192274e-36       5.4044283    0.0079036833   6.5782935e-23     0.040057041   0.00018535469       216.11021
   0.0058343733      0.14735247      0.10236454  -2.0088579e-19    -0.059329931     -0.14753021   9.8397976e-21  -1.7769122e-19  -1.3148024e-19   2.8097667e-35       5.4044459    0.0079159364  -1.3392624e-23     0.040039814    0.0001853483       216.02471
   0.0059552024      0.14755969      0.10212484   8.4051127e-19    -0.059570365     -0.14773731   7.6851138e-21   2.6823311e-19   1.6686888e-19   1.0067658e-35       5.4044637    0.0079282884   2.0074706e-23     0.040022422   0.00018534185        215.9384
   0.0060772915       0.1477683      0.10188238   5.3505456e-19    -0.059813563      -0.1479458   1.6848864e-20   2.8044495e-18   1.9207996e-18   7.2397371e-35       5.4044818    0.0079407399   1.9483335e-22     0.040004863   0.00018533533       215.85125
    0.006200654      0.14797827      0.10163714  -1.1125898e-18    -0.060059555     -0.14815567   2.4981791e-20   2.1175882e-18    1.437453e-18  -3.5131223e-36          5.4045    0.0079532912   1.4779413e-22     0.039987136   0.00018532875       215.76327
   0.0063253029       0.1481896      0.10138907  -1.0693711e-18    -0.060308374     -0.14836692    5.162962e-21  -1.1895052e-18  -8.2711036e-19  -6.0182112e-35       5.4045185    0.0079659426  -8.5882946e-23     0.039969239    0.0001853221       215.67444
   0.0064512519      0.14840228      0.10113816    9.184934e-19    -0.060560053     -0.14857956  -3.0859129e-20  -1.6474497e-18  -1.1242457e-18   6.3311295e-35       5.4045371    0.0079786945   -1.184349e-22     0.039951171   0.00018531538       215.58476
   0.0065785143      0.14861629      0.10088436    1.369307e-18    -0.060814623     -0.14879357   -2.615622e-20   2.0702561e-18   1.3921907e-18   4.7619988e-36        5.404556    0.0079915473   1.5259614e-22     0.039932931    0.0001853086       215.49422
    0.006707104      0.14883159      0.10062764   1.0984459e-19    -0.061072119     -0.14900894   7.5201663e-21   3.1176918e-18   2.0784166e-18  -5.6081101e-35       5.4045752    0.0080045013   2.3029934e-22     0.039914518   0.00018530175       215.40281
   0.0068370347      0.14904817      0.10036797   1.4107548e-19    -0.061332572     -0.14922569   6.3589837e-21    2.378324e-18    1.588389e-18   1.2219623e-35       5.4045945    0.0080175569   1.7864421e-22     0.039895928   0.00018529483       215.31053
