# Selection         : all 
# Volume            : 1.395979868100e-03
# Time              	min(p)	location	cell	min(k)	location	cell	min(omega)	location	cell	min(nut)	location	cell	min(epsilon)	min(nuTilda)
37                  	3.591994964628e-03	(7.960000000000e+00 8.478723090457e-02 1.000000000000e-01)	2988	1.273065010421e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.430614419549e+00	(5.160000000000e+00 5.605608193476e-03 1.000000000000e-01)	1920	1.402410565239e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
38                  	3.549062535175e-03	(7.960000000000e+00 8.042163427956e-02 1.000000000000e-01)	2986	1.272925142474e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.460259122809e+00	(5.000000000000e+00 5.605608193476e-03 1.000000000000e-01)	1860	1.402256486473e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
39                  	3.479974085247e-03	(7.960000000000e+00 7.530531087350e-02 1.000000000000e-01)	2984	1.272516277984e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.489532148833e+00	(4.920000000000e+00 5.605608193476e-03 1.000000000000e-01)	1830	1.401806080661e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
40                  	3.396401755902e-03	(7.960000000000e+00 6.593561181440e-02 1.000000000000e-01)	2981	1.271910362004e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.515549978316e+00	(4.840000000000e+00 5.605608193476e-03 1.000000000000e-01)	1800	1.401138602594e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
41                  	3.310492043848e-03	(7.960000000000e+00 6.228352572410e-02 1.000000000000e-01)	2980	1.271173265174e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.536422068701e+00	(4.760000000000e+00 5.605608193476e-03 1.000000000000e-01)	1770	1.400326615481e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
42                  	3.234540616065e-03	(7.960000000000e+00 5.833044511334e-02 1.000000000000e-01)	2979	1.270363209131e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.552617966594e+00	(4.680000000000e+00 5.605608193476e-03 1.000000000000e-01)	1740	1.399434256376e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
43                  	3.176438776160e-03	(7.960000000000e+00 5.833044511334e-02 1.000000000000e-01)	2979	1.269530135376e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.564322888515e+00	(4.680000000000e+00 5.605608193476e-03 1.000000000000e-01)	1740	1.398516540921e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
44                  	3.139226248122e-03	(7.960000000000e+00 5.833044511334e-02 1.000000000000e-01)	2979	1.268715450398e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.572072234544e+00	(4.600000000000e+00 5.605608193476e-03 1.000000000000e-01)	1710	1.397619082574e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
45                  	3.118830075848e-03	(7.960000000000e+00 5.405184183248e-02 1.000000000000e-01)	2978	1.267952237018e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.577539409981e+00	(4.600000000000e+00 5.605608193476e-03 1.000000000000e-01)	1710	1.396778325426e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
46                  	3.104795701445e-03	(7.960000000000e+00 4.942136386056e-02 1.000000000000e-01)	2977	1.267265565202e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.581555749813e+00	(4.600000000000e+00 5.605608193476e-03 1.000000000000e-01)	1710	1.396021886593e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
47                  	3.092273716741e-03	(7.960000000000e+00 4.441084981549e-02 1.000000000000e-01)	2976	1.266672928813e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.583398776267e+00	(4.520000000000e+00 5.605608193476e-03 1.000000000000e-01)	1680	1.395369037346e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
48                  	3.080450584049e-03	(7.960000000000e+00 3.899053164204e-02 1.000000000000e-01)	2975	1.266184994422e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.583855219112e+00	(4.520000000000e+00 5.605608193476e-03 1.000000000000e-01)	1680	1.394831527998e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
49                  	3.069209272543e-03	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974	1.265806352656e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.583826034451e+00	(4.520000000000e+00 5.605608193476e-03 1.000000000000e-01)	1680	1.394414415589e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
50                  	3.057478462306e-03	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970	1.265536326114e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.583447272689e+00	(4.520000000000e+00 5.605608193476e-03 1.000000000000e-01)	1680	1.394116953894e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
51                  	3.044917750481e-03	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971	1.265369978961e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.582831714492e+00	(4.520000000000e+00 5.605608193476e-03 1.000000000000e-01)	1680	1.393933705589e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
52                  	3.031554689609e-03	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971	1.265300132995e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.582079634757e+00	(4.520000000000e+00 5.605608193476e-03 1.000000000000e-01)	1680	1.393856763155e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
53                  	3.017386257829e-03	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971	1.265317751117e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.581275012134e+00	(4.520000000000e+00 5.605608193476e-03 1.000000000000e-01)	1680	1.393876171307e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
54                  	3.002570528648e-03	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971	1.265411628343e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.580483660859e+00	(4.520000000000e+00 5.605608193476e-03 1.000000000000e-01)	1680	1.393979586619e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
55                  	2.987304966092e-03	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971	1.265568725486e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.579746699718e+00	(4.520000000000e+00 5.605608193476e-03 1.000000000000e-01)	1680	1.394152645096e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
56                  	2.971869596150e-03	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971	1.265774794279e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.579081416851e+00	(4.520000000000e+00 5.605608193476e-03 1.000000000000e-01)	1680	1.394379650827e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
57                  	2.956552047411e-03	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971	1.266015135675e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.578492634202e+00	(4.520000000000e+00 5.605608193476e-03 1.000000000000e-01)	1680	1.394644411315e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
58                  	2.941609701961e-03	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971	1.266275382950e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.577977405869e+00	(4.520000000000e+00 5.605608193476e-03 1.000000000000e-01)	1680	1.394931100153e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
59                  	2.927301702214e-03	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971	1.266542151804e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.577528595319e+00	(4.520000000000e+00 5.605608193476e-03 1.000000000000e-01)	1680	1.395224973173e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
60                  	2.913929700587e-03	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971	1.266803513201e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.577138289743e+00	(4.520000000000e+00 5.605608193476e-03 1.000000000000e-01)	1680	1.395512889329e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
61                  	2.901745050969e-03	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971	1.267049423994e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.576799428631e+00	(4.520000000000e+00 5.605608193476e-03 1.000000000000e-01)	1680	1.395783785074e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
62                  	2.890911594227e-03	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971	1.267271820775e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.576505529537e+00	(4.520000000000e+00 5.605608193476e-03 1.000000000000e-01)	1680	1.396028777743e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
63                  	2.881500873306e-03	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971	1.267464721458e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.576250696013e+00	(4.520000000000e+00 5.605608193476e-03 1.000000000000e-01)	1680	1.396241277461e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
64                  	2.873597762463e-03	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971	1.267624174129e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.576029599398e+00	(4.520000000000e+00 5.605608193476e-03 1.000000000000e-01)	1680	1.396416930793e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
